Compound	InChI-Key	SMILES
L-kynurenine	InChIKey=YGPSJZOEDVAXAB-QMMMGPOBSA-N	C(=O)([O-])[C@@H]([NH3+])CC(=O)C1(/C=C\C=C/C(/N)=1)
alpha-D-idopyranuronate	InChIKey=AEMOLEFTQBMNLQ-CLQWQSTFSA-M	C([R])(=O)[O-]
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	InChIKey=XFVULMDJZXYMSG-ZIYNGMLESA-K	C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/N)=C(C(=O)[O-])/N=C\1))[C@H](O)[C@H](O)2)
cyclic- 3,4-O-oxalyl-L-threonate	InChIKey=FTDFTFXOJYXVTH-UHFFFAOYSA-M	C1(OC(=O)C(=O)OC(C(O)C(=O)[O-])1)
2-trans-6-trans-tridecadienoyl-CoA	InChIKey=OOSDLBAXVXKFIB-BJBRNGJVSA-J	CCCCCC/C=C/CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
methylarsonic acid	InChIKey=QYPPRTNMGCREIM-UHFFFAOYSA-N	C[As](=O)(O)O
hydroxyacetone	InChIKey=XLSMFKSTNGKWQX-UHFFFAOYSA-N	CC(=O)CO
nt-pentose-ring		C(C1(C(C(CO1)O)O))O
beta-alanine	InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N	C([R])(=O)[O-]
alpha-L-xylopyranose	InChIKey=SRBFZHDQGSBBOR-SKNVOMKLSA-N	C(=O)[R]
(L-lysyl)adenylate	InChIKey=RZWIOOBQBMRZTQ-OPYVMVOTSA-O	C([R])(=O)[O-]
acetamide	InChIKey=DLFVBJFMPXGRIB-UHFFFAOYSA-N	CC(=O)N
alpha-D-mannose 1-phosphate	InChIKey=HXXFSFRBOHSIMQ-RWOPYEJCSA-L	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@H](O)1)
L-homocysteine	InChIKey=FFFHZYDWPBMWHY-VKHMYHEASA-N	C([R])(=O)[O-]
ethyl octanoate	InChIKey=YYZUSRORWSJGET-UHFFFAOYSA-N	CCCCCCCC(=O)OCC
glycerol	InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N	C(C(O)CO)O
dATP	InChIKey=SUYVUBYJARFZHO-RRKCRQDMSA-J	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3)
hydrogen peroxide	InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N	OO
2-trans-nonenoyl-CoA	InChIKey=HBLOTZDYPZAZLE-OWQWVSLFSA-J	CCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
D-gluconate	InChIKey=RGHNJXZEOKUKBD-SQOUGZDYSA-M	C([R])(=O)[O-]
x-dman-HEX-1:5		
(L-phenylalanyl)adenylate	InChIKey=ZFNOOEXYTZPIQS-URQYDQELSA-N	C([R])(=O)[O-]
3-hydroxypentan-2-one	InChIKey=HDKKRASBPHFULQ-UHFFFAOYSA-N	CCC(O)C(=O)C
(8S)-8-amino-7-oxononanoate	InChIKey=GUAHPAJOXVYFON-ZETCQYMHSA-N	C[C@@H](C(CCCCCC([O-])=O)=O)[NH3+]
myristoyl-CoA	InChIKey=DUAFKXOFBZQTQE-QSGBVPJFSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
(3E)-tetradec-3-enoyl-CoA	InChIKey=SSOCUKXLUZQJHU-CTFJFIKLSA-J	CCCCCCCCCC/C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
sn-glycero-3-phosphoethanolamine	InChIKey=JZNWSCPGTDBMEW-RXMQYKEDSA-N	C(OP([O-])(OC[C@@H](CO)O)=O)C[NH3+]
alpha-L-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-HGVZOGFYSA-N	C(=O)[R]
N-ethylmaleimide	InChIKey=HDFGOPSGAURCEO-UHFFFAOYSA-N	CCN1(C(=O)\C=C/C(=O)1)
formyl-CoA	InChIKey=SXMOKYXNAPLNCW-GORZOVPNSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate	InChIKey=HKEAOVFNWRDVAJ-UHFFFAOYSA-L	CSCCC(=O)C(=O)COP([O-])(=O)[O-]
benzyl alcohol	InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N	C(C1(\C=C/C=C\C=1))O
glycerone phosphate	InChIKey=GNGACRATGGDKBX-UHFFFAOYSA-L	C(C(=O)CO)OP([O-])([O-])=O
(L-tryptophanyl)adenylate	InChIKey=IFQVDHDRFCKAAW-SQIXAUHQSA-N	C([R])(=O)[O-]
x-dman-HEX-1:4		
2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate	InChIKey=PQMCQNOVNFNPFJ-HYIMLASBSA-K	CC1(\C(\S[C@H](C(=O)[O-])\N=1)=C\COP([O-])(=O)[O-])
4alpha-methyl-5alpha-cholest-7-en-3beta-ol	InChIKey=LMYZQUNLYGJIHI-SPONXPENSA-N	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@H](C2([C@H](CC1)[C@]3(C)([C@@H](CC=2)[C@H](C)[C@@H](O)CC3)))CC4)))C
octyl beta-D-glucopyranoside	InChIKey=HEGSGKPQLMEBJL-RKQHYHRCSA-N	CCCCCCCCO[C@@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)
D-glucono-1,5-lactone	InChIKey=PHOQVHQSTUBQQK-SQOUGZDYSA-N	C(O)[C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)=O)
pentose-ring		C(C1(OC(C(O)C(O)1)O))O
24-methylenecycloartanol	InChIKey=BDHQMRXFDYJGII-UEBIAWITSA-N	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))))=C
x-lgal-HEX-1:5		
(S)-lactic acid	InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-N	C([R])(=O)[O-]
15,16-DiHODE	InChIKey=LKLLJYJTYPVCID-OHPMOLHNSA-M	C([R])(=O)[O-]
oleate	InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M	C([R])(=O)[O-]
acrylamide	InChIKey=HRPVXLWXLXDGHG-UHFFFAOYSA-N	C=CC(=O)N
D-mannitol	InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
1-(18-hydroxyoleoyl)-sn-glycrol 3-phosphate	InChIKey=GFJKJLHWWZXDAU-KXFGNQBASA-L	C([C@@H](O)COP([O-])(=O)[O-])OC(=O)[R]
6-trans-3-oxo-tridecenoyl-CoA	InChIKey=FDXHXLPCLXEYSU-HMXWSVNBSA-J	CCCCCC/C=C/CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
L-leucine	InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N	[C@@H]([NH3+])([R])C([O-])=O
trans-lignocer-2-enoyl-CoA	InChIKey=UVJKZCSQLMWPMV-LQJAWXTISA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
1-(beta-D ribofuranosyl)nicotinamide	InChIKey=JLEBZPBDRKPWTD-TURQNECASA-O	C(O)[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)N))
2-all trans-hexaprenyl-6-methoxyphenol	InChIKey=WVPRAWNIVDFQBO-DUBIXASGSA-N	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C\C=C(C(/O)=1)\OC)
phosphoenolpyruvate	InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-K	C([R])(=O)[O-]
hexadecanedioyl-CoA	InChIKey=GTCSHNMTNCXODY-CCAJQFMUSA-I	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
a thiol group		[C-3]S
2-dehydropantoate	InChIKey=PKVVTUWHANFMQC-UHFFFAOYSA-M	CC(C(=O)C([O-])=O)(CO)C
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole	InChIKey=NAQGHJTUZRHGAC-LBGUGVGYSA-J	C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/N)=C(C(=O)NC(C([O-])=O)CC([O-])=O)/N=C\1))[C@H](O)[C@H](O)2)
thiocyanate	InChIKey=ZMZDMBWJUHKJPS-UHFFFAOYSA-M	S[R]
D-sedoheptulose 1,7-bisphosphate	InChIKey=OKHXOUGRECCASI-SHUUEZRQSA-J	C(OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(COP([O-])(=O)[O-])=O
(E)-(4-aminobutylidene)(3-aminopropyl)amine	InChIKey=YAVLYBVKPXLZEQ-UXBLZVDNSA-Q	C([NH3+])CC/[NH+]=C/CCC[NH3+]
antimonous acid	InChIKey=SZOADBKOANDULT-UHFFFAOYSA-K	O[Sb](O)O
pentadecanoyl-CoA	InChIKey=VLBCUOVMSMAIJC-VTINEICCSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
glucosyl-oleandomycin	InChIKey=DGXXZLIJQKOLQC-GZFACOMDSA-O	C[C@H]5(C[C@@]1(CO1)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@@H](O[C@H]2(C[C@H](OC)[C@@H](O)[C@H](C)O2))[C@H](C)[C@@H](O[C@@H]4(O[C@H](C)C[C@@H]([C@@H](OC3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3))4)[NH+](C)C))5)
octanoate	InChIKey=WWZKQHOCKIZLMA-UHFFFAOYSA-M	C([R])(=O)[O-]
2-phospho-D-glycerate	InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K	C(O[R2])[C@@H](O[R1])C(=O)[O-]
1,2-butanediol	InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N	CCC(CO)O
sulfoacetate	InChIKey=AGGIJOLULBJGTQ-UHFFFAOYSA-L	C([O-])(=O)CS(=O)(=O)[O-]
RX		[R][X]
x-dara-PEN-1:4		
4-nitrobenzyl alcohol	InChIKey=JKTYGPATCNUWKN-UHFFFAOYSA-N	C(O)C1(\C=C/C(/[N+]([O-])=O)=C\C=1)
enol-oxaloacetate	InChIKey=UWYVPFMHMJIBHE-UPHRSURJSA-L	C([R])(=O)[O-]
1-(5-phospho-beta-D-ribosyl)-AMP	InChIKey=RTQMRTSPTLIIHM-KEOHHSTQSA-J	C(OP([O-])(=O)[O-])[C@H]4(O[C@@H](N1(C(C2(\N=C/N(C(\N=C/1)=2)[C@@H]3(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)3)))=N))[C@H](O)[C@@H]4O)
citrate	InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K	C([R])(=O)[O-]
D-erythrose 4-phosphate	InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-L	C([C@@H]([C@@H](COP([O-])([O-])=O)O)O)=O
1-palmitoyl-sn-glycerol	InChIKey=QHZLMUACJMDIAE-SFHVURJKSA-N	CCCCCCCCCCCCCCCC(OC[C@@H](O)CO)=O
C20 3-dehydrosphinganine	InChIKey=FVOLNXKBISLPQY-IBGZPJMESA-O	CCCCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO
alpha-D-mannopyranose	InChIKey=WQZGKKKJIJFFOK-PQMKYFCFSA-N	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)C(O)O1)
a-HEX-1:5		
(R)-mevalonate	InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M	C([R])(=O)[O-]
S-(hydroxymethyl)glutathione	InChIKey=PIUSLWSYOYFRFR-BQBZGAKWSA-M	C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
phosphoinositol-alpha-mannoside	InChIKey=RKBZSOHCWNFBLV-AMEHKVJOSA-L	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)[C@H](O1)O[C@H]2([C@H](O)[C@@H](O)[C@@H]([C@H](O)[C@H](O)2)OP([O-])(=O)[O-]))
1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate	InChIKey=HHQOOERQSFJGEP-SLWYWOEDSA-A	[C@H]1(OP(=O)([O-])[O-])([C@@H](OP(=O)([O-])[O-])[C@H](OP([O-])(=O)OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(OP([O-])(=O)[O-])([O-])=O)[C@H](OP([O-])([O-])=O)1)
pyrithiamine	InChIKey=UZLPMHGCXVJFGY-UHFFFAOYSA-N	CC2(N(CC1(\C(\N)=N/C(\C)=N\C=1))\C=C/C=C(CCO)\2)
protocatechuate	InChIKey=YQUVCSBJEUQKSH-UHFFFAOYSA-M	C([R])(=O)[O-]
4-vinylguaiacol	InChIKey=YOMSJEATGXXYPX-UHFFFAOYSA-N	C=CC1(\C=C/C(/O)=C(C=1)/OC)
ergosterol 3-O-beta-D-glucoside	InChIKey=MKZPNGBJJJZJMI-GBLVNJONSA-N	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]4(CC[C@H]5(C3([C@@H]([C@]2(CC[C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))CC/2=C\C=3)(C))CC[C@](C)45)))
b-dman-HEX-1:5|6:d		
a-dman-HEX-1:5		
(S)-1-pyrroline-5-carboxylate	InChIKey=DWAKNKKXGALPNW-BYPYZUCNSA-M	C([R])(=O)[O-]
gamma-L-glutamyl-(S)-methyl-L-cysteine	InChIKey=UPCDLBPYWXOCOK-WDSKDSINSA-M	C(S[R])[C@@H](C([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
2-phenylethanol	InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N	C1(\C=C/C(\CCO)=C\C=1)
GLYCO-CT-METHYL		
Na+	InChIKey=FKNQFGJONOIPTF-UHFFFAOYSA-N	[Na+]
1-methylnicotinamide	InChIKey=LDHMAVIPBRSVRG-UHFFFAOYSA-O	C[N+]1(\C=C(\C=C/C=1)\C(=O)N)
L-arginine	InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O	[C@@H]([NH3+])([R])C([O-])=O
(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate	InChIKey=MZJFVXDTNBHTKZ-UWTATZPHSA-K	C([R])(=O)[O-]
5-deoxy-alpha-D-ribose 1-phosphate	InChIKey=XXQFKXPJJNBLSU-TXICZTDVSA-L	C[C@H]1(O[C@H](OP([O-])(=O)[O-])[C@@H]([C@@H]1O)O)
5-methylcytosine	InChIKey=LRSASMSXMSNRBT-UHFFFAOYSA-N	CC1(\C=N/C(=O)NC(/N)=1)
3-all trans-hexaprenyl-4,5-dihydroxybenzoate	InChIKey=VEPICJBQCOUQPI-IRVXXIIISA-M	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C(/C=C(\C=1)/C(=O)[O-])\O)
O-acetyl-L-homoserine	InChIKey=FCXZBWSIAGGPCB-YFKPBYRVSA-N	C([R])(=O)[O-]
2-methylbutanol	InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N	CCC(CO)C
alpha-hydroxyheme	InChIKey=QIKCVSLEZBFGCU-CEPNNTPPSA-J	C=CC1(\C3(/C=C8(C(/C)=C(CCC(=O)[O-])/C4(/N([Fe-2]26(N7(C(/C(/O)=C(C(/C)=1)\[N+]/2=3)=C(C=C)/C(\C)=C(\C=C5(C(/C)=C(CCC(=O)[O-])/C(\C=4)=[N+]5/6))\7)))8))))
4alpha-methyl-5alpha-cholesta-8-en-3-one	InChIKey=SDZUXFFGOQZLPK-SINUOACOSA-N	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@H](C2(\CC[C@@H]3([C@@](C)(C(\CC1)=2)CCC(=O)[C@@H](C)3)))CC4)))C
nicotinate	InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M	C([R])(=O)[O-]
(R)-3-(4-hydroxyphenyl)lactoyl-CoA	InChIKey=GIITZIBVBMYMGJ-NHZRKUKBSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](O)CC1(\C=C/C(/O)=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
acetyl-CoA	InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
(3S)-3-hydroxy-L-aspartate	InChIKey=YYLQUHNPNCGKJQ-LWMBPPNESA-M	C([R])(=O)[O-]
1-(sn-glycero-3-phospho)-1D-myo-inositol	InChIKey=BMVUIWJCUQSHLZ-UJGXJMNGSA-M	C(O)[C@@H](O)COP([O-])(O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))=O
(3R)-hydroxy-undecanoyl-CoA	InChIKey=JIOGXINZSOQEGE-MAWALYKISA-J	CCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
b-dara-HEX-2:5|2:keto		
3-hydroxybenzaldehyde	InChIKey=IAVREABSGIHHMO-UHFFFAOYSA-N	C(=O)[R]
3'-dephospho-CoA	InChIKey=KDTSHFARGAKYJN-IBOSZNHHSA-L	CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	InChIKey=QOUSHGMTBIIAHR-KEOHHSTQSA-J	C(OP([O-])(=O)[O-])[C@H]3(O[C@@H](/N=C/NC1(\N(\C=N/C(\C(=O)N)=1)[C@@H]2(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)2)))[C@H](O)[C@@H]3O)
arachidonate	InChIKey=YZXBAPSDXZZRGB-DOFZRALJSA-M	C([R])(=O)[O-]
5-chloro-trans-dienelactone	InChIKey=AFKYGJZZMYXBLV-HWKANZROSA-M	C1(\C(\OC(=O)\C=1)=C(C(=O)[O-])/Cl)
2-(glutathion-S-yl)-propene	InChIKey=HYWLPDOKCGRIQZ-IUCAKERBSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
(2E)-undec-2-enoyl-CoA	InChIKey=CAVMKINPGRCURL-PHHHIDLGSA-J	CCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
[polyketide synthase acyl-carrier protein]-group		CC(C)(COP(=O)([O-])OC[C@H](N[a holo acp domain within a [polyketide synthase]])C(=O)[a holo acp domain within a [polyketide synthase]])[C@@H](O)C(=O)NCCC(=O)NCCS
a-xgal-HEX-1:5|6:a		
siroheme	InChIKey=DLKSSIHHLYNIKN-QIISWYHFSA-D	C[C@]3(CC(=O)[O-])([C@H](CCC(=O)[O-])C7(\[N+]4(\[Fe-2]16([N+]5(\C(/C(\CCC([O-])=O)=C(CC(=O)[O-])\C(/C=C2([C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\N12)=C\C/3=4))=5)=C/C8(/N6C(/C=7)=C(CC([O-])=O)/C(\CCC(=O)[O-])=8))))))
D-glycerate	InChIKey=RBNPOMFGQQGHHO-UWTATZPHSA-M	C([R])(=O)[O-]
CuII-phytate	InChIKey=ARWMRCBCVDYYON-ZLVNENNRSA-B	[C@H]1(OP(O[Cu+])([O-])=O)([C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](OP([O-])([O-])=O)1)
beta-D-mannuronate	InChIKey=AEMOLEFTQBMNLQ-SYJWYVCOSA-M	C([R])(=O)[O-]
GLYCO-CT-PHOSPHATE		
b-lgal-HEX-1:5		
1-oleoyl-2-palmitoyl-phosphatidylglycerol	InChIKey=GTCKEWVHTGGUSN-HGWHEPCSSA-M	C(O)[C@@H](COP([O-])(=O)OC[C@H](OC(=O)[R2])COC(=O)[R1])O
2-14:1-lysophosphatidylglycerol	InChIKey=ACWLYYNLRJOYRA-ZYHOBAKYSA-M	CCCC\C=C/CCCCCCCC(O[C@@H](COP(OC[C@@H](O)CO)([O-])=O)CO)=O
(3Z,5E)-dodec-3,5-dienoyl-CoA	InChIKey=ARQUZFJQPYWSSL-NBLUIMTHSA-J	CCCCCC/C=C/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
D-ribulose 5-phosphate	InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-L	C([C@H]([C@H](C(CO)=O)O)O)OP([O-])([O-])=O
(3R)-hydroxy, 6-cis-tridecenoyl-CoA	InChIKey=ADZJVTNIXNSNGU-UKOYHULUSA-J	CCCCCC\C=C/CC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
coniferyl alcohol	InChIKey=JMFRWRFFLBVWSI-NSCUHMNNSA-N	COC1(\C(\O)=C/C=C(/C=C/CO)/C=1)
oxidized DCPIP	InChIKey=CCBICDLNWJRFPO-UHFFFAOYSA-N	C2(/C=C(\C=C/C(/N=C1(/C=C(C(=O)C(/Cl)=C\1)/Cl))=2)/O)
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate	InChIKey=JAZBEHYOTPTENJ-JLNKQSITSA-M	C([R])(=O)[O-]
cyanamide	InChIKey=XZMCDFZZKTWFGF-UHFFFAOYSA-N	C(N)#N
D-arabinono-1,4-lactone	InChIKey=CUOKHACJLGPRHD-JJYYJPOSSA-N	C(O)[C@H]1(OC(=O)[C@@H](O)[C@H](O)1)
keto-L-sorbose	InChIKey=BJHIKXHVCXFQLS-OTWZMJIISA-N	C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO
x-dxyl-PEN-1:5		
prenyl phosphate	InChIKey=MQCJHQBRIPSIKA-UHFFFAOYSA-L	CC(C)=CCOP(=O)([O-])[O-]
4-methylbenzyl alcohol	InChIKey=KMTDMTZBNYGUNX-UHFFFAOYSA-N	CC1(\C=C/C(/CO)=C\C=1)
p-chloromercuribenzoate	InChIKey=YFZOUMNUDGGHIW-UHFFFAOYSA-L	C1(=C/C=C(\C=C/1)/C(=O)[O-])[Hg]Cl
(L-tryrosyl)adenylate	InChIKey=NFCVQVDMLQEZAK-URQYDQELSA-N	C([R])(=O)[O-]
N,N-dimethylaniline-N-oxide	InChIKey=LKQUDAOAMBKKQW-UHFFFAOYSA-N	CN(C)(=O)C1(\C=C/C=C\C=1)
N1-acetylspermidine	InChIKey=MQTAVJHICJWXBR-UHFFFAOYSA-P	CC(=O)NCCC[NH2+]CCCC[NH3+]
zymostenol	InChIKey=QETLKNDKQOXZRP-XTGBIJOFSA-N	CC(C)CCC[C@H]([C@@H]4([C@]1(C)([C@H](C2(\CC[C@@H]3([C@@](C)(C(\CC1)=2)CC[C@H](O)C3)))CC4)))C
dCDP	InChIKey=FTDHDKPUHBLBTL-SHYZEUOFSA-K	C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)
hydroxyl radical	InChIKey=TUJKJAMUKRIRHC-UHFFFAOYSA-N	O
(indol-3-yl)ethanol	InChIKey=MBBOMCVGYCRMEA-UHFFFAOYSA-N	C1(\NC2(/C=C\C=C/C(/C(\CCO)=1)=2))
(6R)-L-erythro-5,6,7,8-tetrahydrobiopterin	InChIKey=FNKQXYHWGSIFBK-RPDRRWSUSA-N	CC(O)C(O)[C@H]1(CNC2(/N=C(N)\NC(C(/N1)=2)=O))
diphosphate	InChIKey=XPPKVPWEQAFLFU-UHFFFAOYSA-K	O=P(O)(OP([O-])([O-])=O)[O-]
di-homo-gamma-linolenate	InChIKey=HOBAELRKJCKHQD-QNEBEIHSSA-M	C([R])(=O)[O-]
hydrosulfide	InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-M	[SH-]
(indol-3-yl)acetonitrile	InChIKey=DMCPFOBLJMLSNX-UHFFFAOYSA-N	C(#N)CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
